hour, canon, id, Borda Pts, Borda pts norm, Borda Proportion, Borda Sum, Canon weight(aggregated votes for this canon)
22, needs ,f0495904-0e2b-4fd9-a5e8-8ee92ba0c87c,2,0.4,0.2,15,75
22, needs ,7fa9c3d9-6ac0-4e3d-af49-19fcb2cd9154,2,0.4,0.2,15,75
22, needs ,0fd9da96-794a-4f26-9205-f103e52a3ea6,1,0.2,0.2,15,75
22, needs ,6b9a569a-ec51-4a63-bfac-5e196d0e5824,1,0.2,0.2,15,75
22, needs ,2836b64b-1cba-48df-a7e8-93cf1f128248,1,0.2,0.2,15,75
7, equality ,c8f34861-6aa9-46ef-b990-99c4b2390c28,5,0.986842105,0.197368421,15,76
7, equality ,8add56af-2a5b-4c88-b8d0-5cd93c6943dd,5,0.986842105,0.197368421,15,76
7, equality ,71bd3da0-190a-4e0d-9f1c-b41c7d98f7bb,4,0.789473684,0.197368421,15,76
7, equality ,11a8a9d3-7814-4e66-b207-ccf40d0a4c38,4,0.789473684,0.197368421,15,76
7, equality ,a03653c3-dcb9-4904-87d8-1ebd7011cbf5,3,0.592105263,0.197368421,15,76
7, equality ,c77ff30d-1e76-40ec-b230-1a9162e3fab1,3,0.592105263,0.197368421,15,76
7, equality ,636bb22e-0354-4154-a3d4-cfc35b4e6075,2,0.394736842,0.197368421,15,76
7, equality ,91904946-01af-4240-9ffa-dde8a28fdfe2,2,0.394736842,0.197368421,15,76
7, equality ,0fd9da96-794a-4f26-9205-f103e52a3ea6,1,0.197368421,0.197368421,15,76
7, equality ,16ae729b-3e58-4e52-9524-41ae74a1b29f,1,0.197368421,0.197368421,15,76
7, needs ,91904946-01af-4240-9ffa-dde8a28fdfe2,5,0.986842105,0.197368421,15,76
7, needs ,636bb22e-0354-4154-a3d4-cfc35b4e6075,5,0.986842105,0.197368421,15,76
7, needs ,c77ff30d-1e76-40ec-b230-1a9162e3fab1,4,0.789473684,0.197368421,15,76
7, needs ,11a8a9d3-7814-4e66-b207-ccf40d0a4c38,4,0.789473684,0.197368421,15,76
7, needs ,0fd9da96-794a-4f26-9205-f103e52a3ea6,3,0.592105263,0.197368421,15,76
